"Location Name","Location ID","Comments within last month / comments last recorded","Registered manager","Location UPRN","Location telephone number","Location Web Address","Location Local Authority","Location ADASS Region","Primary inspection category","Service Types","Care homes beds","Location HSCA start date","Location HSCA end date","Dormant","Location Latest Overall Rating","Publication Date","Service users supported","Size of care home (bands by number of beds)","Location length of service (bands by number of years)","Location safe rating","Location effective rating","Location caring rating","Location responsive rating","Location well-led rating","Provider Name","Provider ID","Provider HSCA start date","Provider length of service (bands by number of years)","Provider Ownership Type","Provider Companies House Number","Provider characteristic - number of locations","Provider characteristic - national group size (based on locations)","Provider characteristic - number of beds","Provider characteristic - share of beds (nationally)","Provider characteristic - number of local authority areas where it has locations","Provider characteristic - % of local authority areas where it has locations","Brand Name","Brand ID","Brand characteristic - number of locations","Brand characteristic -national group size (based on locations)","Brand characteristic - number of beds","Brand characteristic - share of beds (nationally)","Brand characteristic - % of local authority areas where it has locations","Brand characteristic - number of local authority areas where it has locations"
"Abberdale Ltd t/a Abberdale House","1-346705847","","Sachdev, Kishen, Mr","2465037853","01162915660","www.abberdaleresidentialhome.co.uk","Leicester","East Midlands (ADASS Region)","Residential social care","Care home service without nursing","25","2012-03-06","","N","Good","3/6/2012 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities","25-39 beds","More than 8 years","Good","Good","Good","Good","Good","Abberdale Limited","1-333710211","3/6/2012 12:00:00 AM","13","Organisation","07773854","1","1 location","25","0","1","1.00%","","","","","","0","",""
"Abberley House","1-318051307","","Jennings, Julie Ann, Mrs","10008538373","01215224860","","Sandwell","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","9","2011-11-28","","N","Good","11/28/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","The Sandwell Community Caring Trust","1-101648817","10/1/2010 12:00:00 AM","15","Organisation","3286106","15","11 - 20 locations","298","0.03","2","1.00%","","","","","","0","",""
"Abberton Manor Nursing Home","1-115758629","","","100091471267","01206735590","www.heritagemanor.co.uk","Essex","East (ADASS Region)","Residential social care","Care home service with nursing","26","2011-01-10","","N","Good","1/10/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Mental health conditions, Physical disabilities, Sensory impairment","25-39 beds","More than 8 years","Good","Good","Good","Good","Good","Heritage Manor Limited","1-101652035","10/1/2010 12:00:00 AM","15","Organisation","01305965","6","6 - 10 locations","245","0.03","3","2.00%","","","","","","0","",""
"Abbey Care","1-4099441661","","Emeny, Mary Elizabeth, Mrs","27662681","01444455622","www.abbeycare.com","West Sussex","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2017-08-31","","N","Good","8/31/2017 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 8 years","Good","Good","Good","Good","Requires improvement","3 F International Limited","1-101647855","10/1/2010 12:00:00 AM","15","Organisation","03106737","2","2 - 5 locations","0","0","1","1.00%","","","","","","0","",""
"Abbey Care","1-9818205012","","Hathaway, Liam, Mr","38279412","01514866618","www.abbeycareuk.co.uk","Liverpool","North West (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2020-11-16","","N","Requires improvement","11/16/2020 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 5 years but less than 8 years","Requires improvement","Good","Good","Good","Requires improvement","Abbey Care (NW) Limited","1-8256859035","11/16/2020 12:00:00 AM","5","Organisation","08303961","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Abbey Care and Support","1-5657564004","","","10023160548","01142844868","","Sheffield","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2018-08-31","","N","Requires Improvement","8/31/2018 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","","More than 5 years but less than 8 years","Requires Improvement","Good","Good","Good","Requires Improvement","Abbey Care and Nursing @Home Limited","1-101689168","10/1/2010 12:00:00 AM","15","Organisation","06377457","2","2 - 5 locations","0","0","1","1.00%","","","","","","0","",""
"Abbey Care Complex","1-136143611","","","10023773491","02085543743","www.abbeycarecomplex.co.uk","Redbridge","Greater London (ADASS Region)","Residential social care","Care home service with nursing","50","2011-01-14","","N","Good","1/14/2011 12:00:00 AM","Caring for adults over 65 yrs, Dementia","40-60 beds","More than 8 years","Good","Good","Good","Good","Good","Abbey Care Complex Limited","1-101654256","10/1/2010 12:00:00 AM","15","Organisation","04832515","1","1 location","50","0.01","1","1.00%","BRAND Abbey Total Care Group","BD459","11","11 - 20 locations","600","0.07","8","5.00%"
"Abbey Care Direct Limited","1-123896865","","Aston, Sharon Louise Briony Irene, Mrs","100070047824","01743233832","","Shropshire","West Midlands (ADASS Region)","Residential social care","Care home service without nursing, Domiciliary care service","14","2011-02-07","","N","Good","2/7/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities, Sensory impairment","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Abbey Care Direct Ltd","1-101683581","10/1/2010 12:00:00 AM","15","Organisation","05822271","2","2 - 5 locations","28","0","1","1.00%","","","","","","0","",""
"Abbey Care Home","1-6114037579","","Burton, Sarah Ann, Ms","100003891","01708732658","","Barking and Dagenham","Greater London (ADASS Region)","Residential social care","Care home service without nursing","20","2018-12-04","","N","Good","12/4/2018 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia","10-24 beds","More than 5 years but less than 8 years","Good","Good","Good","Requires improvement","Good","Oakley Carehomes Limited","1-5989364304","12/4/2018 12:00:00 AM","7","Organisation","09813572","1","1 location","20","0","1","1.00%","","","","","","0","",""
"Abbey Care Solutions Ltd","1-320001951","","Fitzsimmons, Carla Elise, Ms","100091253930","01992713011","","Essex","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2011-10-17","","N","Good","10/17/2011 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Physical disabilities, Sensory impairment","","More than 8 years","Good","Good","Good","Good","Good","Abbey Care Solutions Limited","1-293089782","10/17/2011 12:00:00 AM","14","Organisation","07565683","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Abbey Care Village","1-12815712162","","Creighton, Sophie Anne, Mrs","83060673","01484469946","www.larchwoodcare.co.uk","Kirklees","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service without nursing","78","2022-07-04","","N","Requires improvement","7/4/2022 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Physical disabilities, Sensory impairment","61 beds and over","More than 3 years but less than 5 years","Requires improvement","Good","Good","Good","Requires improvement","WCG Abbey Ltd","1-12783921128","7/4/2022 12:00:00 AM","3","Organisation","13751662","1","1 location","78","0.01","1","1.00%","","","","","","0","",""
"Abbey Chase Nursing Home","1-106926337","","Krystyanc, Anna Maria, Mrs","200004029531","01932568090","www.abbeychase.co.uk","Surrey","South East (ADASS Region)","Residential social care","Care home service with nursing","62","2010-11-18","","N","Good","11/18/2010 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Sensory impairment","61 beds and over","More than 8 years","Good","Good","Good","Requires improvement","Good","Abbey Chase Residential and Nursing Homes Limited","1-101610128","10/1/2010 12:00:00 AM","15","Organisation","02455685","1","1 location","62","0.01","1","1.00%","BRAND CHD Living","BD318","37","21 - 50 locations","1168","0.13","2","1.00%"
"Abbey Court","1-2901841024","","","4510702501","01912851720","","Newcastle upon Tyne","North East (ADASS Region)","Residential social care","Care home service with nursing","44","2016-09-22","","N","Good","9/22/2016 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities","40-60 beds","More than 8 years","Good","Good","Good","Good","Good","Malhotra Care Homes Limited","1-138858435","12/30/2010 12:00:00 AM","15","Organisation","06902590","10","6 - 10 locations","551","0.06","6","4.00%","BRAND Prestwick Care","BD460","18","11 - 20 locations","967","0.11","6","4.00%"
"Abbey Court Care Home","1-135689777","","Craddock, Kerry Ann, Ms","","01543277358","www.averyhealthcare.co.uk/care-homes/staffordshire/cannock/abbey-court/","Staffordshire","West Midlands (ADASS Region)","Residential social care","Care home service with nursing","76","2011-03-16","","N","Good","3/16/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities","61 beds and over","More than 8 years","Good","Good","Good","Good","Requires improvement","Avery Homes (Cannock) Limited","1-122683706","10/1/2010 12:00:00 AM","15","Organisation","04035160","2","2 - 5 locations","143","0.02","1","1.00%","BRAND Avery","BD293","183","More than 50 locations","15544","1.74","54","35.00%"
"Abbey Court Care Home","1-22158291480","","","10007264327","01778391390","","Lincolnshire","East Midlands (ADASS Region)","Residential social care","Care home service with nursing","88","2025-06-25","","N","Good","6/25/2025 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia","61 beds and over","","Good","Good","Good","Good","Good","Maven Healthcare (Abbey) LLP","1-22136283829","6/25/2025 12:00:00 AM","0","Organisation","OC455539","1","1 location","88","0.01","1","1.00%","","","","","","0","",""
"Abbey Court Care Home - Leek","1-117123253","","Leadbetter, Mandy, Mrs","200001574836","01538386523","www.knightscare.co.uk","Staffordshire","West Midlands (ADASS Region)","Residential social care","Care home service with nursing","50","2011-01-12","","N","Good","1/12/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Eating disorders, Mental health conditions, Physical disabilities, Sensory impairment, Substance misuse problems","40-60 beds","More than 8 years","Good","Good","Good","Good","Requires improvement","Knights Care Limited","1-101618869","10/1/2010 12:00:00 AM","15","Organisation","05718636","5","2 - 5 locations","327","0.04","4","3.00%","BRAND Knights Care","BD433","7","6 - 10 locations","479","0.05","5","3.00%"
"Abbey Court Care Ltd","1-15480543025","","Poppy, Rebecca Kim, Mrs","100070325794","01217832080","www.evergreencarehome.co.uk","Birmingham","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","24","2023-03-20","","N","Requires improvement","3/20/2023 12:00:00 AM","Caring for adults over 65 yrs, Physical disabilities","10-24 beds","More than 1 year but less than 3 years","Requires improvement","Good","Good","Good","Requires improvement","Abbey Court Care Limited","1-15141166681","3/20/2023 12:00:00 AM","2","Organisation","12757218","1","1 location","24","0","1","1.00%","","","","","","0","",""
"Abbey Court Nursing and Residential Home","1-122231066","","Bennett Collins, Lesley, Mrs","10010622167","01332364539","","Derby","East Midlands (ADASS Region)","Residential social care","Care home service with nursing","40","2011-01-14","","N","Good","1/14/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","40-60 beds","More than 8 years","Good","Good","Good","Good","Good","Abbey Court Nursing and Residential Homes Limited","1-101660172","10/1/2010 12:00:00 AM","15","Organisation","01978338","1","1 location","40","0","1","1.00%","","","","","","0","",""
"Abbey Dean","1-1534976820","","Knight, Natalie, Mrs","100061688342","01243554535","","West Sussex","South East (ADASS Region)","Residential social care","Care home service without nursing","18","2014-08-14","","N","Good","8/14/2014 12:00:00 AM","Caring for adults over 65 yrs, Dementia","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Wolfe House Limited","1-244447574","6/1/2011 12:00:00 AM","14","Organisation","05999353","2","2 - 5 locations","34","0","2","1.00%","","","","","","0","",""
"Abbey Grange Care Home","1-17428144259","","Gill, Jessica, Miss","100012382579","","","Lancashire","North West (ADASS Region)","Residential social care","Care home service without nursing","25","2023-10-05","","N","Inadequate","10/5/2023 12:00:00 AM","Caring for adults over 65 yrs","25-39 beds","More than 1 year but less than 3 years","Inadequate","Inadequate","Requires Improvement","Requires Improvement","Inadequate","Abbey Grange Care Home Ltd","1-13694190779","10/5/2023 12:00:00 AM","2","Organisation","14003161","1","1 location","25","0","1","1.00%","","","","","","0","",""
"Abbey Grange Nursing Home","1-228749739","","Peach, Kerry Leanne, Mrs","","01142560046","www.countrycourtcare.com","Sheffield","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service with nursing","74","2011-04-26","","N","Good","4/26/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia","61 beds and over","More than 8 years","Good","Good","Good","Good","Good","Country Court Care Homes Limited","1-101639883","10/1/2010 12:00:00 AM","15","Organisation","03253377","15","11 - 20 locations","546","0.06","4","3.00%","BRAND Country Court Care","BD332","80","More than 50 locations","4082","0.46","29","19.00%"
"Abbey Grove Residential Home","1-113900394","","Warren, Stephanie Victoria, Miss","10004681291","01617890425","","Salford","North West (ADASS Region)","Residential social care","Care home service without nursing","19","2010-12-30","","N","Good","12/30/2010 12:00:00 AM","Caring for adults over 65 yrs","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Coveleaf Limited","1-101662894","10/1/2010 12:00:00 AM","15","Organisation","03671374","2","2 - 5 locations","45","0.01","1","1.00%","","","","","","0","",""
"Abbey Healthcare- Aarandale Manor","1-3581897636","","Harris, Kirsty Jessica, Mrs","18094133","02038799000","","Barnet","Greater London (ADASS Region)","Residential social care","Care home service with nursing","65","2017-03-09","","N","Good","3/9/2017 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Eating disorders, Physical disabilities, Sensory impairment","61 beds and over","More than 8 years","Good","Good","Good","Requires improvement","Good","Abbey Healthcare (Mill Hill) Limited","1-3113210634","3/9/2017 12:00:00 AM","8","Organisation","10385047","1","1 location","65","0.01","1","1.00%","","","","","","0","",""
"Abbey Hey Care Home","1-1145266322","","Pearce, Kim Lesley, Mrs","100012743117","01616244115","www.bondcare.co.uk/care-homes/abbey-hey-care-home/","Oldham","North West (ADASS Region)","Residential social care","Care home service without nursing","39","2014-01-29","","N","Good","1/29/2014 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities, Sensory impairment","25-39 beds","More than 8 years","Good","Good","Good","Good","Good","Care Worldwide (Manchester) Limited","1-1108883324","1/29/2014 12:00:00 AM","12","Organisation","06451214","2","2 - 5 locations","118","0.01","2","1.00%","BRAND Care Worldwide","BD350","18","11 - 20 locations","462","0.05","11","7.00%"
"Abbey House","1-127619988","","","11082916","01472372415","www.linkage.org.uk","North East Lincolnshire","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service without nursing, Specialist college service","13","2010-11-15","","Y","Outstanding","11/15/2010 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities","10-24 beds","More than 8 years","Good","Good","Outstanding","Outstanding","Outstanding","Linkage Community Trust","1-101671469","10/1/2010 12:00:00 AM","15","Organisation","01240377","37","21 - 50 locations","248","0.03","3","2.00%","BRAND Linkage Community Trust","BD236","37","21 - 50 locations","248","0.03","3","2.00%"
"Abbey House","1-19680559405","","Curtis, Sarah Lorraine, Miss","200001926690","0138640140","","Worcestershire","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","6","2024-08-29","","N","Good","8/29/2024 12:00:00 AM","Learning Disabilities or autistic spectrum disorder, Physical disabilities","1-9 beds","More than 1 year but less than 3 years","Good","Good","Good","Good","Good","Aspire Living Limited","1-101609453","10/1/2010 12:00:00 AM","15","Organisation","02720295","9","6 - 10 locations","32","0","2","1.00%","BRAND Thera Group","BD425","50","21 - 50 locations","97","0.01","9","6.00%"
"Abbey House","1-1901347130","","Burdett, Jennifer, Mrs","2465160165","01162312350","","Leicester","East Midlands (ADASS Region)","Residential social care","Care home service without nursing","37","2015-02-02","","N","Good","2/2/2015 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities, Sensory impairment","25-39 beds","More than 8 years","Good","Good","Good","Good","Good","Leicestershire County Care Limited","1-363315753","9/28/2012 12:00:00 AM","13","Organisation","07562264","13","11 - 20 locations","530","0.06","2","1.00%","BRAND Johnson Care Ltd","BD551","24","21 - 50 locations","979","0.11","4","3.00%"
"Abbey House","1-4734441767","","Sparkes, Maisy Suzanne, Miss","100060328218","02392475219","www.dolphinhomes.co.uk","Hampshire","South East (ADASS Region)","Residential social care","Care home service without nursing","8","2018-01-24","","N","Good","1/24/2018 12:00:00 AM","Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Dolphin Homes Limited","1-101683287","10/1/2010 12:00:00 AM","15","Organisation","01685034","16","11 - 20 locations","98","0.01","3","2.00%","","","","","","0","",""
"Abbey House - Morden","1-118658356","","Krishnabala, Thushjah, Miss","48036582","02085425065","","Merton","Greater London (ADASS Region)","Residential social care","Care home service without nursing","12","2010-12-22","","N","Good","12/22/2010 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Sensory impairment","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Ms Sivanithy Rajaratnam","1-101633935","10/1/2010 12:00:00 AM","15","Individual","","2","2 - 5 locations","16","0","1","1.00%","","","","","","0","",""
"Abbey House Nursing Home","1-143429649","","Lush, Andrea Jayne, Mrs","10009592878","02380454044","www.abbeyhouse.org.uk","Hampshire","South East (ADASS Region)","Residential social care","Care home service with nursing, Rehabilitation services","48","2011-01-13","","N","Good","1/13/2011 12:00:00 AM","Caring for adults over 65 yrs, Physical disabilities","40-60 beds","More than 8 years","Good","Good","Good","Good","Good","Millennium Care Homes Limited","1-130466204","1/13/2011 12:00:00 AM","15","Organisation","03071484","1","1 location","48","0.01","1","1.00%","","","","","","0","",""
"Abbey House Residential Care Home","1-115957604","","Ramshaw, Leah, Ms","10002649696","01424222534","www.angelhealthcare.co.uk","East Sussex","South East (ADASS Region)","Residential social care","Care home service without nursing","23","2010-12-10","","N","Good","12/10/2010 12:00:00 AM","Caring for adults over 65 yrs, Physical disabilities, Sensory impairment","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Angel Healthcare Limited","1-101665774","10/1/2010 12:00:00 AM","15","Organisation","03447485","4","2 - 5 locations","90","0.01","1","1.00%","","","","","","0","",""
"Abbey Lea Care Home","1-112073317","","Prangnell-White, Natalie Jane, Mrs","100050523927","01757213811","www.abbeyleacarehome.co.uk","North Yorkshire","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service without nursing","23","2011-01-07","","N","Good","1/7/2011 12:00:00 AM","Caring for adults over 65 yrs, Dementia","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Ochre Care Limited","1-101608787","10/1/2010 12:00:00 AM","15","Organisation","04338932","2","2 - 5 locations","39","0","1","1.00%","","","","","","0","",""
"Abbey Lodge","1-1052364456","","","100060083826","01424772771","www.care-matters.co.uk","East Sussex","South East (ADASS Region)","Residential social care","Care home service without nursing","18","2014-06-30","","N","Good","6/30/2014 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions","10-24 beds","More than 8 years","Good","Good","Good","Good","Requires improvement","Care Matters (S.E.) Limited","1-958995044","6/30/2014 12:00:00 AM","11","Organisation","08599766","1","1 location","18","0","1","1.00%","","","","","","0","",""
"Abbey Lodge - Coulsdon","1-4353071497","","Thiyagarajan Janita Gnana Soundari, Sriram, Mr","100020572278","02087649045","www.ctkresidentialcarehomes.co.uk","Croydon","Greater London (ADASS Region)","Residential social care","Care home service without nursing","9","2017-10-18","","N","Good","10/18/2017 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Christ The King Residential Care Homes Limited","1-211511616","7/27/2011 12:00:00 AM","14","Organisation","05591631","5","2 - 5 locations","37","0","2","1.00%","","","","","","0","",""
"Abbey Lodge Care Home - St Albans","1-108914596","","Iyapah, Krishna, Mr","10024114456","01727825899","","Hertfordshire","East (ADASS Region)","Residential social care","Care home service with nursing","8","2011-01-07","","N","Good","1/7/2011 12:00:00 AM","Mental health conditions","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Mrs Meetranee Chintaram","1-101625161","10/1/2010 12:00:00 AM","15","Individual","","2","2 - 5 locations","11","0","1","1.00%","","","","","","0","",""
"Abbey Lodge Care Home UNIT 1","1-506295054","","Carpanen, Thiruven, Mr","100080851956","01727825899","","Hertfordshire","East (ADASS Region)","Residential social care","Care home service without nursing","3","2012-11-07","","N","Good","11/7/2012 12:00:00 AM","Mental health conditions","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Mrs Meetranee Chintaram","1-101625161","10/1/2010 12:00:00 AM","15","Individual","","2","2 - 5 locations","11","0","1","1.00%","","","","","","0","",""
"Abbey Lodge Residential Home","1-112504856","","Hinder, Joanne Marie, Mrs","50022048","01303265175","www.abbeyresthome.co.uk","Kent","South East (ADASS Region)","Residential social care","Care home service without nursing","25","2010-11-19","","N","Good","11/19/2010 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","25-39 beds","More than 8 years","Good","Good","Good","Good","Good","Abbey Lodge (Residential Home) Ltd","1-101616586","10/1/2010 12:00:00 AM","15","Organisation","04939120","1","1 location","25","0","1","1.00%","","","","","","0","",""
"Abbey Park","1-117977000","","Thompson, Tina, Mrs","10024027560","02476506045","mha.org.uk/care-support/care-homes/abbey-park","Coventry","West Midlands (ADASS Region)","Residential social care","Care home service with nursing","84","2010-12-22","","N","Good","12/22/2010 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia","61 beds and over","More than 8 years","Requires improvement","Good","Good","Good","Good","Methodist Homes","1-102642904","10/1/2010 12:00:00 AM","15","Organisation","04043124","146","More than 50 locations","5182","0.58","75","48.00%","BRAND Methodist Homes","BD127","146","More than 50 locations","5182","0.58","75","48.00%"
"Abbey Ravenscroft Park Nursing Home","1-127846026","","Kanel, Rabindra, Mr","200097585","02084495222","www.ravenscroftparknursinghome.co.uk","Barnet","Greater London (ADASS Region)","Residential social care","Care home service with nursing","78","2010-11-22","","N","Requires Improvement","11/22/2010 12:00:00 AM","Caring for adults over 65 yrs, Dementia","61 beds and over","More than 8 years","Requires Improvement","Good","Requires Improvement","Requires Improvement","Requires Improvement","Abbey Ravenscroft Park Limited","1-101654380","10/1/2010 12:00:00 AM","15","Organisation","05502514","1","1 location","78","0.01","1","1.00%","BRAND Abbey Total Care Group","BD459","11","11 - 20 locations","600","0.07","8","5.00%"
"Abbey Rose","1-508158530","","","100040693546","01202877764","","Dorset","South West (ADASS Region)","Residential social care","Care home service without nursing","24","2012-11-28","","N","Good","11/28/2012 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Mental health conditions, Physical disabilities, Sensory impairment","10-24 beds","More than 8 years","Good","Good","Good","Good","Good","Serene Care (UK) Ltd","1-515048718","11/28/2012 12:00:00 AM","13","Organisation","08079990","1","1 location","24","0","1","1.00%","","","","","","0","",""
"Abbey Rose Care Home","1-6184228044","","Padolina, Lawrence, Mr","100070416656","01213776707","www.macccare.com","Birmingham","West Midlands (ADASS Region)","Residential social care","Care home service with nursing","85","2019-03-20","","N","Good","3/20/2019 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities","61 beds and over","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","MACC Care Limited","1-101641521","10/1/2010 12:00:00 AM","15","Organisation","05094075","7","6 - 10 locations","421","0.05","2","1.00%","BRAND MACC Care","BD510","16","11 - 20 locations","1035","0.12","7","5.00%"
"Abbey Support & Services Limited","1-578602811","","","","07718170186","","Leicester","East Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2013-02-11","","N","Good","2/11/2013 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Eating disorders, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 8 years","Good","Good","Good","Good","Good","Ms Nasrin Begum","1-572427036","2/11/2013 12:00:00 AM","13","Individual","","1","1 location","0","0","1","1.00%","","","","","","0","",""
"Abbey View","1-619097016","","Barna, Elena, Mrs","10002639817","01935813222","www.coltencare.co.uk","Dorset","South West (ADASS Region)","Residential social care","Care home service with nursing","52","2013-02-25","","N","Outstanding","2/25/2013 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","40-60 beds","More than 8 years","Good","Good","Good","Outstanding","Outstanding","Colten Care (1993) Limited","1-120628678","10/1/2010 12:00:00 AM","15","Organisation","06587985","9","6 - 10 locations","552","0.06","4","3.00%","BRAND Colten Care","BD312","33","21 - 50 locations","1849","0.21","5","3.00%"
"Abbey Village","1-122169525","","","100050189096","01652225548","","North Lincolnshire","Yorkshire and Humber (ADASS Region)","Residential social care","Care home service without nursing","34","2011-01-26","","N","Requires Improvement","1/26/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia","25-39 beds","More than 8 years","Requires Improvement","Good","Good","Good","Requires Improvement","Abbey Village Limited","1-101611792","10/1/2010 12:00:00 AM","15","Organisation","04738023","2","2 - 5 locations","68","0.01","2","1.00%","","","","","","0","",""
"Abbey Wood Lodge Care Home","1-1432578737","","Trerise, Gavin, Mr","100012654010","01695767778","","Lancashire","North West (ADASS Region)","Residential social care","Care home service without nursing","60","2014-10-29","","N","Good","10/29/2014 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","40-60 beds","More than 8 years","Good","Good","Good","Good","Good","Athena Care (Ormskirk) Limited","1-1371373141","10/29/2014 12:00:00 AM","11","Organisation","FC032203","1","1 location","60","0.01","1","1.00%","","","","","","0","",""
"Abbey Wood Park Care Home","1-9334701621","","Cullen, Susan, Mrs","38094400","01513921000","","Liverpool","North West (ADASS Region)","Residential social care","Care home service with nursing","39","2020-08-28","","N","Good","8/28/2020 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Physical disabilities, Sensory impairment","25-39 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Abbey Wood Park Limited","1-9256736808","8/28/2020 12:00:00 AM","5","Organisation","12374177","1","1 location","39","0","1","1.00%","","","","","","0","",""
"Abbeycliffe Residential Care Home","1-694462901","","Kempton, Hayley Caroline, Ms","100012437981","01618502851","www.abbeycliffe.co.uk","Bury","North West (ADASS Region)","Residential social care","Care home service without nursing","40","2013-04-19","","N","Good","4/19/2013 12:00:00 AM","Caring for adults over 65 yrs","40-60 beds","More than 8 years","Good","Good","Good","Good","Good","Abbeycliffe Limited","1-518867708","4/19/2013 12:00:00 AM","12","Organisation","08073517","1","1 location","40","0","1","1.00%","","","","","","0","",""
"Abbeycrest Nursing Home","1-784336914","","","10033002010","01189709000","www.ariacare.co.uk/find-a-home/abbeycrest-in-sonning-common/","Oxfordshire","South East (ADASS Region)","Residential social care","Care home service with nursing","70","2013-07-04","","N","Good","7/4/2013 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia","61 beds and over","More than 8 years","Good","Good","Good","Good","Good","Aria Healthcare Group LTD","1-747230526","7/4/2013 12:00:00 AM","12","Organisation","06367517","45","21 - 50 locations","2518","0.28","24","15.00%","BRAND Aria Healthcare Group","BD636","63","More than 50 locations","3598","0.4","27","17.00%"
