Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
"Dr V Sagoo, Dr R Syed and Partners",1 Manor House Lane,Yardley,Birmingham,West Midlands,B26 1PE,01217432273,1-199775411,,,Birmingham,West Midlands,,https://www.cqc.org.uk/provider/1-199775411,Manor House Lane & Marston Green Surgeries,"Maternity and midwifery services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr V Sagoo, Dr R Syed and Partners"
"Dr Y Thankey, Dr A Kachhia & Dr S Johnson",Riversley Road,,Nuneaton,Warwickshire,CV11 5QT,02476382239,1-199770081,,https://www.riversleyroadsurgery.warwickshire.nhs.uk,Warwickshire,West Midlands,,https://www.cqc.org.uk/provider/1-199770081,Riversley Road Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Y Thankey, Dr A Kachhia & Dr S Johnson"
"Dr Y Thankey, Dr A Kachhia & Dr S Johnson",Riversley Road,,Nuneaton,Warwickshire,CV11 5QT,02476382239,1-199770081,1-537846575,https://www.riversleyroadsurgery.co.uk,Warwickshire,West Midlands,2017-03-15T00:00:00Z,https://www.cqc.org.uk/location/1-537846575,Riversley Road Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr Y Thankey, Dr A Kachhia & Dr S Johnson"
"Dr Zaidi & Partners, East Wing Surgery",The Palmer Community Hospital,Wear Street,Jarrow,Tyne and Wear,NE32 3UX,01914028075,1-199692004,,https://www.eastwingsurgery.nhs.uk,South Tyneside,North East,,https://www.cqc.org.uk/provider/1-199692004,,"Maternity and midwifery services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr Zaidi & Partners, East Wing Surgery"
"Dr Zaidi & Partners, East Wing Surgery",The Palmer Community Hospital,Wear Street,Jarrow,Tyne and Wear,NE32 3UX,01914028075,1-199692004,1-557989564,https://www.eastwingsurgery.nhs.uk,South Tyneside,North East,2016-09-29T00:00:00Z,https://www.cqc.org.uk/location/1-557989564,,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr Zaidi & Partners, East Wing Surgery"
"Dr's H.C. Ash, K.A. Harris & J.E. Hirst",Dearne Valley Health Centre,"Wakefield Road, Scissett",Huddersfield,West Yorkshire,HD8 9JL,01484862793,1-199697528,,,Kirklees,Yorkshire & Humberside,,https://www.cqc.org.uk/provider/1-199697528,Dearne Valley Health Centre,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr's H.C. Ash, K.A. Harris & J.E. Hirst"
"Dr's H.C. Ash, K.A. Harris & J.E. Hirst",Dearne Valley Health Centre,"Wakefield Road, Scissett",Huddersfield,West Yorkshire,HD8 9JL,01484862793,1-199697528,1-541350935,,Kirklees,Yorkshire & Humberside,2019-11-07T00:00:00Z,https://www.cqc.org.uk/location/1-541350935,Dearne Valley Health Centre,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr's H.C. Ash, K.A. Harris & J.E. Hirst"
"Dr's Rookledge, Dean, Llewellyn, Gower & Knight",24 Station Road,Long Buckby,Northampton,Northamptonshire,NN6 7QB,01327842360,1-199757623,,https://www.longbuckbydoctors.gpsurgery.net,West Northamptonshire,East Midlands,,https://www.cqc.org.uk/provider/1-199757623,The Long Buckby Practice,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr's Rookledge, Dean, Llewellyn, Gower & Knight"
"Dr's Rookledge, Dean, Llewellyn, Gower & Knight",24 Station Road,Long Buckby,Northampton,Northamptonshire,NN6 7QB,01327842360,1-199757623,1-558994731,https://www.longbuckbydoctors.gpsurgery.net,West Northamptonshire,East Midlands,2020-03-30T00:00:00Z,https://www.cqc.org.uk/location/1-558994731,The Long Buckby Practice,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr's Rookledge, Dean, Llewellyn, Gower & Knight"
"Dr. Andrew, Edwards, Hayes & Cleary",Yorkley Health Centre,Bailey Hill,Yorkley,Gloucestershire,GL15 4RS,01594562437,1-199764886,,https://www.yorkleyhealthcentre.nhs.uk,Gloucestershire,South West,,https://www.cqc.org.uk/provider/1-199764886,,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr. Andrew, Edwards, Hayes & Cleary"
"Dr. Andrew, Edwards, Hayes & Cleary",Yorkley Health Centre,Bailey Hill,Yorkley,Gloucestershire,GL15 4RS,01594562437,1-199764886,1-582287711,https://www.yorkleyhealthcentre.nhs.uk,Gloucestershire,South West,2017-01-19T00:00:00Z,https://www.cqc.org.uk/location/1-582287711,,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr. Andrew, Edwards, Hayes & Cleary"
"Dr. Joseph, Dr. Herbert & Dr. Devlin","Suffolk Street,",Hendon,Sunderland,Tyne and Wear,SR2 8AX,01915679361,1-199692081,,https://www.villettesurgery.nhs.uk,Sunderland,North East,,https://www.cqc.org.uk/provider/1-199692081,Villette Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr. Joseph, Dr. Herbert & Dr. Devlin"
"Dr. Joseph, Dr. Herbert & Dr. Devlin","Suffolk Street,",Hendon,Sunderland,Tyne and Wear,SR2 8AX,01915679361,1-199692081,1-540795923,https://www.villettesurgery.nhs.uk,Sunderland,North East,2016-09-27T00:00:00Z,https://www.cqc.org.uk/location/1-540795923,Villette Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Dr. Joseph, Dr. Herbert & Dr. Devlin"
"Dr. Kamlesh Shah , Dr. Milind Gaglani Partnership",3A Sheaveshill Avenue,Colindale,London,,NW9 6SH,02082056690,1-20393342387,,,Barnet,London,,https://www.cqc.org.uk/provider/1-20393342387,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr. Kamlesh Shah , Dr. Milind Gaglani Partnership"
"Drs Ansari, Carradus and Farndell",Liverpool Road,Longton,Preston,Lancashire,PR4 5HA,01772503180,1-199781263,,https://www.longtonhealthcentre.co.uk,Lancashire,North West,,https://www.cqc.org.uk/provider/1-199781263,Longton Health Centre,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Ansari, Carradus and Farndell"
"Drs Assadourian, Andrews and Pizzotti","The Odiham Health Centre, Deer Park View",Odiham,Hook,Hampshire,RG29 1JY,01256702371,1-199749803,,https://www.odihamhealthcentre.co.uk,Hampshire,South East,,https://www.cqc.org.uk/provider/1-199749803,,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Assadourian, Andrews and Pizzotti"
"Drs Assadourian, Andrews and Pizzotti","The Odiham Health Centre, Deer Park View",Odiham,Hook,Hampshire,RG29 1JY,01256702371,1-199749803,1-571351080,https://www.odihamhealthcentre.co.uk,Hampshire,South East,2017-04-27T00:00:00Z,https://www.cqc.org.uk/location/1-571351080,,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Assadourian, Andrews and Pizzotti"
"Drs Bloomer, Devlin and Baxter",Shadycombe Road,,Salcombe,Devon,TQ8 8DJ,01548842284,1-199762844,,https://www.salcombehealthcentre.co.uk,Devon,South West,,https://www.cqc.org.uk/provider/1-199762844,Redfern Health Centre,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Bloomer, Devlin and Baxter"
"Drs Bloomer, Devlin and Baxter",Shadycombe Road,,Salcombe,Devon,TQ8 8DJ,01548842284,1-199762844,1-567845968,https://www.salcombehealthcentre.co.uk,Devon,South West,2018-02-26T00:00:00Z,https://www.cqc.org.uk/location/1-567845968,Redfern Health Centre,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Bloomer, Devlin and Baxter"
"Drs Bryan, Hadley, Jones & Chan",Dale Medical Practice,"Planks Lane, Wombourne",Wolverhampton,West Midlands,WV5 8DX,01902892209,1-199768652,,https://www.dalemedicalpractice-wombourne.nhs.uk,Staffordshire,West Midlands,,https://www.cqc.org.uk/provider/1-199768652,Dale Medical Practice,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Bryan, Hadley, Jones & Chan"
"Drs Bryan, Hadley, Jones & Chan",Dale Medical Practice,"Planks Lane, Wombourne",Wolverhampton,West Midlands,WV5 8DX,01902892209,1-199768652,1-555738478,https://www.dalemedicalpractice-wombourne.nhs.uk,Staffordshire,West Midlands,2017-06-14T00:00:00Z,https://www.cqc.org.uk/location/1-555738478,Dale Medical Practice,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Bryan, Hadley, Jones & Chan"
"Drs Cameron, Majid and Shabir",Cleckheaton Health Centre,Greenside,Cleckheaton,West Yorkshire,BD19 5AP,01274399505,1-199702758,,https://www.thegreenwaymedicalpractice.co.uk,Kirklees,Yorkshire & Humberside,,https://www.cqc.org.uk/provider/1-199702758,The Greenway Medical Practice,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Cameron, Majid and Shabir"
"Drs Carragher, Akhtar & Brindle",109 Station Road,Lower Stondon,Henlow,Bedfordshire,SG16 6JJ,01462850305,1-199717949,1-470222801,https://www.lowerstondon.gpsurgery.net,Central Bedfordshire,East,2017-05-17T00:00:00Z,https://www.cqc.org.uk/location/1-470222801,,Services for everyone,"Doctors/GPs,Doctors/GPs",Dr Collins and Carragher
"Drs Charles, Read, Mannion, Shapiro, Prabhu & Hewson",Middle Street,Beeston,Nottingham,Nottinghamshire,NG9 1GA,01159076960,1-199711268,,https://www.themanorsurgery.com,Nottinghamshire,East Midlands,,https://www.cqc.org.uk/provider/1-199711268,The Manor Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Charles, Read, Mannion, Shapiro, Prabhu & Hewson"
"Drs Charles, Read, Mannion, Shapiro, Prabhu & Hewson",Middle Street,Beeston,Nottingham,Nottinghamshire,NG9 1GA,01159076960,1-199711268,1-549911498,https://www.themanorsurgery.com,Nottinghamshire,East Midlands,2018-04-23T00:00:00Z,https://www.cqc.org.uk/location/1-549911498,The Manor Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Charles, Read, Mannion, Shapiro, Prabhu & Hewson"
"Drs Charlton, Russell, Stevens & Stone",Orchard Road,,Darlington,County Durham,DL3 6HZ,01325465285,1-199687554,1-541105502,,Darlington,North East,2015-05-21T00:00:00Z,https://www.cqc.org.uk/location/1-541105502,Orchard Court Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Charlton, Russell, Stevens, Stone & Schmidt"
"Drs Charlton, Russell, Stevens, Stone & Schmidt",Orchard Road,,Darlington,County Durham,DL3 6HZ,01325465285,1-199687554,,,Darlington,North East,,https://www.cqc.org.uk/provider/1-199687554,Orchard Court Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Charlton, Russell, Stevens, Stone & Schmidt"
"Drs Coleman, Sellars, Sharpe, Tupper and Leighton",83a Thorne Road,,Doncaster,South Yorkshire,DN1 2EU,01302342832,1-199712861,,https://www.kingthornepractice.co.uk,Doncaster,Yorkshire & Humberside,,https://www.cqc.org.uk/provider/1-199712861,The Kingthorne Group Practice,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Coleman, Sellars, Sharpe, Tupper and Leighton"
"Drs Coleman, Sellars, Sharpe, Tupper and Leighton",83a Thorne Road,,Doncaster,South Yorkshire,DN1 2EU,01302342832,1-199712861,1-544616221,https://www.kingthornepractice.co.uk,Doncaster,Yorkshire & Humberside,2024-01-25T00:00:00Z,https://www.cqc.org.uk/location/1-544616221,The Kingthorne Group Practice,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Coleman, Sellars, Sharpe, Tupper and Leighton"
"Drs Czerniewski, Reynolds, Chesser & Harris",Dunsmore Heath,Dunchurch,Rugby,Warwickshire,CV22 6AP,01788522448,1-199770131,,https://www.dunchurchsurgery.warwickshire.nhs.uk,Warwickshire,West Midlands,,https://www.cqc.org.uk/provider/1-199770131,Dunchurch Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Czerniewski, Reynolds, Chesser & Harris"
"Drs Czerniewski, Reynolds, Chesser & Harris",Dunsmore Heath,Dunchurch,Rugby,Warwickshire,CV22 6AP,01788522448,1-199770131,1-569117294,https://www.dunchurchsurgery.warwickshire.nhs.uk,Warwickshire,West Midlands,2016-10-28T00:00:00Z,https://www.cqc.org.uk/location/1-569117294,Dunchurch Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Czerniewski, Reynolds, Chesser & Harris"
"Drs Desai, Lowe and Farooqi",The Old Court House,,Barnet,Hertfordshire,EN5 4BB,02084492388,1-199720572,,https://www.theoldcourthousesurgery.co.uk,Barnet,London,,https://www.cqc.org.uk/provider/1-199720572,,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Diagnostic and screening procedures",Partnership,"Drs Desai, Lowe and Farooqi"
"Drs Desai, Lowe and Farooqi",The Old Court House,,Barnet,Hertfordshire,EN5 4BB,02084492388,1-199720572,1-558037294,https://www.theoldcourthousesurgery.co.uk,Barnet,London,2025-08-19T09:45:01Z,https://www.cqc.org.uk/location/1-558037294,,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Desai, Lowe and Farooqi"
"Drs Frost, Hall, Rushforth and Cooper",95 Moresdale Lane,,Leeds,West Yorkshire,LS14 6GG,01132951200,1-199704069,1-548182751,https://www.foundrylane.net,Leeds,Yorkshire & Humberside,2016-06-15T00:00:00Z,https://www.cqc.org.uk/location/1-548182751,Foundry Lane Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Rushforth, Cooper and Eastham"
"Drs Gollin, Coppock and Guy","Harptree Surgery, Bristol Road",West Harptree,Bristol,,BS40 6HF,01761221406,1-199759294,,https://www.harptree-cameleysurgery.nhs.uk,Bath and North East Somerset,South West,,https://www.cqc.org.uk/provider/1-199759294,,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Gollin, Coppock and Guy"
"Drs Green, Majeed and Shetty",Vittoria Medical Centre,Vittoria Street,Birkenhead,Merseyside,CH41 3RH,01516477181,1-199780622,1-551429106,,Wirral,North West,2021-05-24T00:00:00Z,https://www.cqc.org.uk/location/1-551429106,,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Green, Majeed and Shetty"
"Drs Green, Majeed and Shetty",Vittoria Medical Centre,Vittoria Street,Birkenhead,Merseyside,CH41 3RH,01516477321,1-199780622,,,Wirral,North West,,https://www.cqc.org.uk/provider/1-199780622,"Drs Green, Majeed and Shetty","Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Green, Majeed and Shetty"
"Drs Grey, Lodge & Mrs Draco",Riverside Surgery,"525 New Chester Road, Rock Ferry",Birkenhead,Merseyside,CH42 2AG,01516453464,1-199780453,,https://www.riversidesurgerywirral.nhs.uk,Wirral,North West,,https://www.cqc.org.uk/provider/1-199780453,Riverside Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Grey, Lodge & Mrs Draco"
"Drs Grey, Lodge & Mrs Draco",Riverside Surgery,"525 New Chester Road, Rock Ferry",Birkenhead,Merseyside,CH42 2AG,01516453464,1-199780453,1-566571656,https://www.riversidesurgerywirral.nhs.uk,Wirral,North West,2018-05-25T00:00:00Z,https://www.cqc.org.uk/location/1-566571656,Riverside Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Grey, Lodge & Mrs Draco"
"Drs Guinan, Anderson and Khine",Lache Health Centre,Hawthorn Road,Chester,Cheshire,CH4 8HX,01244671991,1-199777767,,https://www.lachehealth.co.uk,Cheshire West and Chester,North West,,https://www.cqc.org.uk/provider/1-199777767,,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Guinan, Anderson and Khine"
"Drs Guinan, Anderson and Khine",Lache Health Centre,Hawthorn Road,Chester,Cheshire,CH4 8HX,01244671991,1-199777767,1-572083333,https://www.lachehealth.co.uk,Cheshire West and Chester,North West,2016-09-19T00:00:00Z,https://www.cqc.org.uk/location/1-572083333,,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Guinan, Anderson and Khine"
"Drs Irving, Smith, Hacking & Rylance",Haverflatts Lane,,Milnthorpe,Cumbria,LA7 7PS,01539715555,1-199781805,,https://www.park-view-surgery.co.uk,Westmorland and Furness,North West,,https://www.cqc.org.uk/provider/1-199781805,Park View Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Irving, Smith, Hacking & Rylance"
"Drs Irving, Smith, Hacking & Rylance",Haverflatts Lane,,Milnthorpe,Cumbria,LA7 7PS,01539715555,1-199781805,1-572735601,https://www.park-view-surgery.co.uk,Westmorland and Furness,North West,2016-12-02T00:00:00Z,https://www.cqc.org.uk/location/1-572735601,Park View Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Irving, Smith, Hacking & Rylance"
"Drs King, Hill and Entwistle",Crewe Road,Haslington,Crewe,Cheshire,CW1 5QY,01270275900,1-199777148,,,Cheshire East,North West,,https://www.cqc.org.uk/provider/1-199777148,Haslington Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs King, Hill and Entwistle"
"Drs King, Hill and Entwistle",Crewe Road,Haslington,Crewe,Cheshire,CW1 5QY,01270275900,1-199777148,1-549330280,,Cheshire East,North West,2017-06-15T00:00:00Z,https://www.cqc.org.uk/location/1-549330280,Haslington Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs King, Hill and Entwistle"
"Drs Lavin, Findlay, Remedios and Thompson",Maple Road,,Malvern,Worcestershire,WR14 1GQ,01684577029,1-199766589,,https://www.whiteacresmc.co.uk,Worcestershire,West Midlands,,https://www.cqc.org.uk/provider/1-199766589,Whiteacres Medical Centre,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Lavin, Findlay, Remedios and Thompson"
"Drs Lavin, Findlay, Remedios and Thompson",Maple Road,,Malvern,Worcestershire,WR14 1GQ,01684577029,1-199766589,1-569212416,https://www.whiteacresmc.co.uk,Worcestershire,West Midlands,2016-05-11T00:00:00Z,https://www.cqc.org.uk/location/1-569212416,Whiteacres Medical Centre,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Lavin, Findlay, Remedios and Thompson"
"Drs Leung, Mallick, Sherrell & Hobbs",60 Forest Road,,Bordon,Hampshire,GU35 0BP,01420477975,1-199749664,,https://www.bordondoctors.co.uk,Hampshire,South East,,https://www.cqc.org.uk/provider/1-199749664,Dr Leung & Partners,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Leung, Mallick, Sherrell & Hobbs"
"Drs Leung, Mallick, Sherrell & Hobbs",60 Forest Road,,Bordon,Hampshire,GU35 0PB,01420477975,1-199749664,1-545339708,,Hampshire,South East,2025-02-25T09:00:00Z,https://www.cqc.org.uk/location/1-545339708,,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Leung, Mallick, Sherrell & Hobbs"
"Drs Malde, Majid, Adesi and Sobolewski",172 Adelaide Avenue,Brockley,London,,SE4 1JN,02083145552,1-199742654,,https://www.hillyfields.com,Lewisham,London,,https://www.cqc.org.uk/provider/1-199742654,Hilly Fields Medical Centre,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Malde, Majid, Adesi and Sobolewski"
"Drs Mears, Iqbal and Dahl",2 Swarland Avenue,Benton Road,Newcastle Upon Tyne,Tyne and Wear,NE7 7TD,01912150141,1-199690484,,https://www.swarlandavenuesurgery.nhs.uk,Newcastle upon Tyne,North East,,https://www.cqc.org.uk/provider/1-199690484,Swarland Avenue Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Mears, Iqbal and Dahl"
"Drs Mears, Iqbal and Dahl",2 Swarland Avenue,Benton Road,Newcastle Upon Tyne,Tyne and Wear,NE7 7TD,01912150141,1-199690484,1-553143718,https://www.swarlandavenuesurgery.nhs.uk,Newcastle upon Tyne,North East,2016-06-08T00:00:00Z,https://www.cqc.org.uk/location/1-553143718,Swarland Avenue Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Mears, Iqbal and Dahl"
"Drs Mirza, Sukhani and Partners","The Surgery, 30 The Green",Hockwell Ring,Luton,Bedfordshire,LU4 9NN,01582505355,1-199718088,,,Luton,East,,https://www.cqc.org.uk/provider/1-199718088,,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Diagnostic and screening procedures",Partnership,"Drs Mirza, Sukhani and Partners"
"Drs Mirza, Sukhani and Partners","The Surgery, 30 The Green",Hockwell Ring,Luton,Bedfordshire,LU4 9NN,01582505355,1-199718088,1-545416915,,Luton,East,2025-06-12T09:00:00Z,https://www.cqc.org.uk/location/1-545416915,,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Mirza, Sukhani and Partners"
"Drs O'Neill, Evans & Lunn",Gas House Lane Surgery,"Morpeth NUS Central Centre, The Mount",Morpeth,Northumberland,NE61 1JX,01670513657,1-199688675,1-794224133,,Northumberland,North East,2023-01-19T00:00:00Z,https://www.cqc.org.uk/location/1-794224133,,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs O'Neill, Evans & Lunn"
"Drs O'Neill, Evans & Lunn",Morpeth NHS Centre,The Mount,Morpeth,Northumberland,NE61 1JX,01670513657,1-199688675,,https://www.gashouselane.gpsurgery.net,Northumberland,North East,,https://www.cqc.org.uk/provider/1-199688675,Gas House Lane Surgery,"Maternity and midwifery services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs O'Neill, Evans & Lunn"
"Drs Oram, Walton, Hynes & Dutton",14 Horseley Heath,,Tipton,West Midlands,DY4 7QU,01215572027,1-199773288,,https://www.hhs-tmc.co.uk,Sandwell,West Midlands,,https://www.cqc.org.uk/provider/1-199773288,,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Oram, Walton, Hynes & Dutton"
"Drs Oram, Walton, Hynes & Dutton",14 Horseley Heath,,Tipton,West Midlands,DY4 7QU,01215572027,1-199773288,1-549586216,https://www.hhs-tmc.co.uk,Sandwell,West Midlands,2018-03-08T00:00:00Z,https://www.cqc.org.uk/location/1-549586216,,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Oram, Walton, Hynes & Dutton"
"Drs Ostle, Harrison, Tyagi, Walker & Tonkin","3 Church Close, High Street",Eton,Windsor,Berkshire,SL4 6AP,01753864545,1-199755381,,https://www.southmeadowsurgery.co.uk,Windsor and Maidenhead,South East,,https://www.cqc.org.uk/provider/1-199755381,South Meadow and Dedworth Surgeries,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Ostle, Harrison, Tyagi, Walker & Tonkin"
"Drs Outram, Bhimpuria, Patel and Thompson","The Surgery, School Lane",Alconbury,Huntingdon,Cambridgeshire,PE28 4EQ,01480890281,1-199714471,,https://www.alconburybramptonsurgery.co.uk,Cambridgeshire,East,,https://www.cqc.org.uk/provider/1-199714471,Alconbury & Brampton Surgeries,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Outram, Bhimpuria, Patel and Thompson"
"Drs P Keller, D Kearns",The Central Surgery,Bell Street,Sawbridgeworth,Hertfordshire,CM21 9AQ,01279603180,1-199720076,,https://www.centralsurgerysawbo.nhs.uk,Hertfordshire,East,,https://www.cqc.org.uk/provider/1-199720076,Central Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs P Keller, D Kearns"
"Drs Parnell, Albardiaz, James and Dale",The Surgery,"Main Street, Northiam",Rye,East Sussex,TN31 6ND,01797252140,1-199736692,,https://www.northiamandbroadsurgery.co.uk,East Sussex,South East,,https://www.cqc.org.uk/provider/1-199736692,Northiam / Broad Oak Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Parnell, Albardiaz, James and Dale"
"Drs Parnell, Albardiaz, James and Dale",The Surgery,"Main Street, Northiam",Rye,East Sussex,TN31 6ND,01797252140,1-199736692,1-545472119,https://www.northiamandbroadsurgery.co.uk,East Sussex,South East,2017-03-02T00:00:00Z,https://www.cqc.org.uk/location/1-545472119,Northiam / Broad Oak Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Parnell, Albardiaz, James and Dale"
"Drs Phillips, Harding and Eggitt",Masham Road,Cantley,Doncaster,South Yorkshire,DN4 6BU,01302537611,1-199712812,,,Doncaster,Yorkshire & Humberside,,https://www.cqc.org.uk/provider/1-199712812,The Oakwood Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Diagnostic and screening procedures",Partnership,"Drs Phillips, Harding and Eggitt"
"Drs Phillips, Harding and Eggitt",Masham Road,Cantley,Doncaster,South Yorkshire,DN4 6BU,01302537611,1-199712812,1-584831316,,Doncaster,Yorkshire & Humberside,2019-03-21T00:00:00Z,https://www.cqc.org.uk/location/1-584831316,The Oakwood Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Phillips, Harding and Eggitt"
"Drs Prees, Weldon & Hogg",Coalpit Road,,Bath,Somerset,BA1 7NP,01225858686,1-199759265,,https://www.batheastonmedicalcentre.com,Bath and North East Somerset,South West,,https://www.cqc.org.uk/provider/1-199759265,Batheaston Medical Centre,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Drs Prees, Weldon & Hogg"
"Drs Prees, Weldon & Hogg",Coalpit Road,,Bath,Somerset,BA1 7NP,01225858686,1-199759265,1-550966092,https://www.batheastonmedicalcentre.com,Bath and North East Somerset,South West,2018-07-30T00:00:00Z,https://www.cqc.org.uk/location/1-550966092,Batheaston Medical Centre,Services for everyone,"Doctors/GPs,Doctors/GPs","Drs Prees, Weldon & Hogg"
